Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1988,1988,1988,3,0,1,Import,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,673,"Iron and steel bars,rods,angles,shapes,sections",1,No Quantity,,,0,,0,,69930144,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,673,"Iron and steel bars,rods,angles,shapes,sections",1,No Quantity,,,0,,0,,6338319,,,0
S1,1988,1988,1988,3,0,1,Import,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,674,"Universals,plates and sheets of iron or steel",1,No Quantity,,,0,,0,,54042828,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,674,"Universals,plates and sheets of iron or steel",1,No Quantity,,,0,,0,,16242225,,,0
S1,1988,1988,1988,3,0,1,Import,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,675,Hoop and strip of iron or steel,1,No Quantity,,,0,,0,,13577563,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,675,Hoop and strip of iron or steel,1,No Quantity,,,0,,0,,61846520,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,676,Rails & rlwy track constr mat. Of iron or steel,1,No Quantity,,,0,,0,,19868496,,,0
S1,1988,1988,1988,3,0,1,Import,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,677,"Iron and steel wire, excluding wire rod",1,No Quantity,,,0,,0,,1849454,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,677,"Iron and steel wire, excluding wire rod",1,No Quantity,,,0,,0,,55764656,,,0
S1,1988,1988,1988,3,0,1,Import,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,678,"Tubes,pipes and fittings of iron or steel",1,No Quantity,,,0,,0,,33548400,,,0
S1,1988,1988,1988,3,0,2,Export,200,Czechoslovakia,CSK,0,World,WLD,,,,,,,,678,"Tubes,pipes and fittings of iron or steel",1,No Quantity,,,0,,0,,10275719,,,0
